Zip Code ZCTA,State,City,2010 Census Population,Latitude,Longitude
1001,MA,Agawam,16769,42.06,-72.61
1002,MA,Amherst,29049,42.37,-72.52
1003,MA,Amherst,10372,42.37,-72.52
1005,MA,Barre,5079,42.42,-72.1
1007,MA,Belchertown,14649,42.27,-72.4
1008,MA,Blandford,1263,42.18,-72.93
1009,MA,Bondsville,741,42.2,-72.34
1010,MA,Brimfield,3609,42.11,-72.2
1011,MA,Chester,1370,42.28,-72.98
1012,MA,Chesterfield,661,42.4,-72.85
1013,MA,Chicopee,23188,42.17,-72.57
1020,MA,Chicopee,29668,42.17,-72.57
1022,MA,Chicopee,2451,42.17,-72.57
1026,MA,Cummington,946,42.46,-72.9
1027,MA,Easthampton,17660,42.26,-72.68
1028,MA,East Longmeadow,15720,42.06,-72.51
1029,MA,East Otis,789,42.17,-73.03
1030,MA,Feeding Hills,11669,42.06,-72.67
1031,MA,Gilbertville,1308,42.35,-72.21
1032,MA,Goshen,570,42.43,-72.8
1033,MA,Granby,6227,42.26,-72.52
1034,MA,Granville,2021,42.06,-72.86
1035,MA,Hadley,5250,42.35,-72.58
1036,MA,Hampden,5109,42.06,-72.41
1037,MA,Hardwick,838,42.35,-72.2
1038,MA,Hatfield,2545,42.37,-72.6
1039,MA,Haydenville,1336,42.39,-72.7
1040,MA,Holyoke,39880,42.21,-72.64
1050,MA,Huntington,2530,42.23,-72.88
1053,MA,Leeds,1685,42.35,-72.71
1054,MA,Leverett,1851,42.45,-72.5
1056,MA,Ludlow,21103,42.16,-72.48
1057,MA,Monson,8534,42.09,-72.31
1060,MA,Northampton,15284,42.32,-72.67
1062,MA,Florence,11150,42.32,-72.67
1063,MA,Northampton,430,42.32,-72.67
1066,MA,North Hatfield,64,42.4,-72.6
1068,MA,Oakham,1902,42.35,-72.05
1069,MA,Palmer,8469,42.16,-72.32
1070,MA,Plainfield,629,42.51,-72.91
1071,MA,Russell,1596,42.18,-72.85
1072,MA,Shutesbury,1478,42.45,-72.4
1073,MA,Southampton,5792,42.23,-72.73
1074,MA,South Barre,319,42.38,-72.09
1075,MA,South Hadley,17527,42.26,-72.56
1077,MA,Southwick,9502,42.05,-72.76
1079,MA,Thorndike,692,42.18,-72.33
1080,MA,Three Rivers,2334,42.18,-72.37
1081,MA,Wales,1698,42.06,-72.21
1082,MA,Ware,10322,42.25,-72.24
1083,MA,Warren,2888,42.21,-72.19
1084,MA,West Chesterfield,176,42.41,-72.87
1085,MA,Westfield,41117,42.13,-72.75
1086,MA,Westfield,687,42.13,-72.75
1088,MA,West Hatfield,670,42.39,-72.64
1089,MA,West Springfield,28391,42.12,-72.65
1092,MA,West Warren,1394,42.2,-72.2
1093,MA,Whately,325,42.45,-72.61
1094,MA,Wheelwright,351,42.35,-72.14
1095,MA,Wilbraham,14319,42.13,-72.43
1096,MA,Williamsburg,2217,42.4,-72.71
1097,MA,Woronoco,111,42.19,-72.82
1098,MA,Worthington,1101,42.41,-72.93
1103,MA,Springfield,2479,42.11,-72.53
1104,MA,Springfield,22865,42.11,-72.53
1105,MA,Springfield,12350,42.11,-72.53
1106,MA,Longmeadow,16021,42.04,-72.57
1107,MA,Springfield,11611,42.11,-72.53
1108,MA,Springfield,26688,42.11,-72.53
1109,MA,Springfield,30250,42.11,-72.53
1118,MA,Springfield,14071,42.11,-72.53
1119,MA,Springfield,14152,42.11,-72.53
1128,MA,Springfield,2631,42.11,-72.53
1129,MA,Springfield,7019,42.11,-72.53
1151,MA,Indian Orchard,8698,42.15,-72.51
1199,MA,Springfield,0,42.11,-72.53
1201,MA,Pittsfield,46504,42.45,-73.26
1220,MA,Adams,8603,42.62,-73.11
1222,MA,Ashley Falls,829,42.05,-73.33
1223,MA,Becket,2314,42.33,-73.07
1224,MA,Berkshire,182,42.51,-73.19
1225,MA,Cheshire,3117,42.55,-73.15
1226,MA,Dalton,6945,42.47,-73.16
1229,MA,Glendale,95,42.3,-73.32
1230,MA,Great Barrington,8430,42.19,-73.35
1235,MA,Hinsdale,2766,42.42,-73.07
1236,MA,Housatonic,1509,42.25,-73.36
1237,MA,Lanesboro,2496,42.51,-73.22
1238,MA,Lee,6047,42.3,-73.25
1240,MA,Lenox,4534,42.35,-73.28
1242,MA,Lenox Dale,476,42.36,-73.27
1243,MA,Middlefield,334,42.35,-73.01
1244,MA,Mill River,151,42.12,-73.27
1245,MA,Monterey,985,42.18,-73.21
1247,MA,North Adams,16087,42.68,-73.11
1253,MA,Otis,731,42.19,-73.07
1254,MA,Richmond,972,42.37,-73.36
1255,MA,Sandisfield,915,42.11,-73.13
1256,MA,Savoy,692,42.56,-73.02
1257,MA,Sheffield,2121,42.1,-73.34
1258,MA,South Egremont,374,42.16,-73.41
1259,MA,Southfield,635,42.07,-73.23
1260,MA,South Lee,240,42.3,-73.23
1262,MA,Stockbridge,1238,42.3,-73.32
1264,MA,Tyringham,137,42.24,-73.19
1266,MA,West Stockbridge,1463,42.31,-73.39
1267,MA,Williamstown,7989,42.7,-73.2
1270,MA,Windsor,778,42.51,-73.04
1301,MA,Greenfield,17700,42.58,-72.59
1330,MA,Ashfield,1506,42.53,-72.78
1331,MA,Athol,13263,42.59,-72.23
1337,MA,Bernardston,2596,42.66,-72.55
1338,MA,Buckland,187,42.6,-72.78
1339,MA,Charlemont,1438,42.63,-72.88
